2.20552	1.56799	1.28252	1.11171	0.994873	0.908482	0.841315	0.787146	0.742208	0.704233	0.671495	0.642976	0.617784	0.595344	0.575187	0.556952	0.540352	0.525128	0.511149	0.498233
2.24692	1.59741	1.30658	1.13256	1.01354	0.925524	0.857097	0.801912	0.75613	0.717443	0.684091	0.655037	0.629373	0.606511	0.585977	0.5674	0.550488	0.534978	0.520737	0.507579
2.28761	1.62632	1.33024	1.15306	1.03188	0.942276	0.87261	0.816426	0.769816	0.730428	0.696472	0.666893	0.640764	0.617488	0.596582	0.577669	0.560451	0.54466	0.530161	0.516765
2.32763	1.65477	1.3535	1.17323	1.04992	0.958752	0.887868	0.830701	0.783275	0.743199	0.70865	0.678553	0.651967	0.628284	0.607013	0.587769	0.57025	0.554183	0.539431	0.5258
2.36701	1.68275	1.37639	1.19307	1.06768	0.974964	0.902882	0.844748	0.79652	0.755766	0.720633	0.690027	0.662991	0.638908	0.617277	0.597707	0.579892	0.563554	0.548552	0.534691
2.40578	1.71031	1.39892	1.2126	1.08516	0.990927	0.917663	0.858578	0.809561	0.768139	0.732431	0.701323	0.673845	0.649368	0.627382	0.607493	0.589386	0.57278	0.557532	0.543444
2.44397	1.73745	1.42112	1.23184	1.10238	1.00665	0.932224	0.8722	0.822406	0.780326	0.744052	0.712451	0.684537	0.659671	0.637336	0.617131	0.598737	0.581867	0.566378	0.552066
2.48161	1.7642	1.443	1.2508	1.11935	1.02214	0.946572	0.885625	0.835063	0.792337	0.755503	0.723416	0.695072	0.669824	0.647146	0.626629	0.607952	0.590823	0.575095	0.560563
2.51871	1.79057	1.46456	1.2695	1.13607	1.03742	0.960717	0.898859	0.847542	0.804177	0.766793	0.734226	0.705459	0.679833	0.656816	0.635993	0.617036	0.599652	0.583689	0.568939
2.5553	1.81658	1.48583	1.28793	1.15257	1.05248	0.974668	0.911911	0.859849	0.815854	0.777927	0.744887	0.715703	0.689705	0.666353	0.645228	0.625996	0.608359	0.592164	0.577201
2.5914	1.84223	1.50682	1.30612	1.16885	1.06735	0.988432	0.924789	0.871992	0.827375	0.788913	0.755406	0.725809	0.699444	0.675763	0.654339	0.634836	0.616949	0.600526	0.585351
2.62704	1.86756	1.52753	1.32407	1.18491	1.08202	1.00202	0.937499	0.883976	0.838746	0.799755	0.765788	0.735784	0.709056	0.68505	0.663332	0.64356	0.625428	0.608779	0.593396
2.66221	1.89256	1.54798	1.3418	1.20077	1.0965	1.01543	0.950047	0.895807	0.849972	0.810459	0.776037	0.745632	0.718547	0.694219	0.67221	0.652174	0.633799	0.616927	0.601338
2.69696	1.91725	1.56817	1.3593	1.21644	1.1108	1.02867	0.962439	0.907492	0.861059	0.821031	0.78616	0.755358	0.727919	0.703274	0.680978	0.66068	0.642066	0.624974	0.609181
2.73128	1.94164	1.58812	1.37659	1.23191	1.12493	1.04176	0.974682	0.919036	0.872012	0.831475	0.79616	0.764966	0.737179	0.71222	0.68964	0.669084	0.650233	0.632924	0.61693
2.7652	1.96575	1.60784	1.39368	1.2472	1.1389	1.05469	0.98678	0.930443	0.882836	0.841795	0.806042	0.774461	0.746329	0.72106	0.6982	0.677389	0.658304	0.64078	0.624588
2.79872	1.98958	1.62732	1.41057	1.26232	1.1527	1.06747	0.998739	0.941719	0.893534	0.851996	0.81581	0.783846	0.755373	0.729798	0.706661	0.685598	0.666281	0.648545	0.632157
2.83187	2.01314	1.64659	1.42727	1.27726	1.16634	1.08011	1.01056	0.952868	0.904113	0.862083	0.825468	0.793126	0.764315	0.738438	0.715027	0.693714	0.674169	0.656223	0.63964
2.86465	2.03643	1.66565	1.44379	1.29204	1.17984	1.09261	1.02226	0.963894	0.914574	0.872058	0.83502	0.802303	0.773159	0.746982	0.7233	0.701741	0.68197	0.663816	0.647041
2.89708	2.05948	1.6845	1.46013	1.30666	1.19319	1.10497	1.03382	0.974801	0.924923	0.881926	0.844468	0.811381	0.781908	0.755434	0.731485	0.709681	0.689686	0.671327	0.654363
2.92917	2.08229	1.70315	1.47629	1.32113	1.2064	1.1172	1.04527	0.985592	0.935162	0.891689	0.853817	0.820364	0.790564	0.763797	0.739582	0.717538	0.697321	0.678758	0.661607
2.96092	2.10485	1.7216	1.49229	1.33545	1.21947	1.12931	1.0566	0.996272	0.945296	0.901351	0.863069	0.829253	0.79913	0.772074	0.747596	0.725313	0.704878	0.686113	0.668776
2.99236	2.12719	1.73987	1.50813	1.34962	1.23242	1.14129	1.06781	1.00684	0.955327	0.910916	0.872227	0.838053	0.80761	0.780266	0.755529	0.733009	0.712357	0.693394	0.675872
